"roottime","i","j","k","endH","endM"
"1",9e+09,5e-05,1,1,0.244650633718226,0.000339388712926892
"roottime","i","j","k","endH","endM"
"1",9e+09,1e-04,1,1,0.241237264567671,0.000563512527641746
"roottime","i","j","k","endH","endM"
"1",1703.00008854624,0.00015,1,1,0.0803329536357885,0.000262600373818355
"roottime","i","j","k","endH","endM"
"1",1523.88348679513,2e-04,1,1,0.0722435197746742,0.000361832246380345
"1",9e+09,5e-05,1,1,0.244650633718226,0.000339388712926892
"1",9e+09,1e-04,1,1,0.241237264567671,0.000563512527641746
"1",1703.00008854624,0.00015,1,1,0.0803329536357885,0.000262600373818355
"1",1523.88348679513,2e-04,1,1,0.0722435197746742,0.000361832246380345
"1",1464.63230724596,0.00025,1,1,0.0695031438432323,0.000447900885104041
"1",1424.73730348424,3e-04,1,1,0.0676352456671086,0.000439154612927902
